CODNEG,PRE-ABE,PRE-ULT,PRE-OFV,PREMED,VOLT-TOT,DATA_PREGAO
ABEV3,10.8,10.86,10.87,10.85,262859638000,2025-02-06 00:00:00
ABEV3,10.83,10.92,10.93,10.92,430585507000,2025-02-12 00:00:00
ABEV3,10.84,11.09,11.09,10.98,564779770000,2025-01-17 00:00:00
ABEV3,10.86,10.85,10.86,10.85,363679836000,2025-02-07 00:00:00
ABEV3,10.87,10.98,10.98,10.93,230541127000,2025-02-13 00:00:00
ABEV3,10.87,11.12,11.12,11.02,384676934000,2025-01-27 00:00:00
ABEV3,10.93,11.04,11.04,11.01,268747350000,2025-02-20 00:00:00
ABEV3,10.94,10.82,10.82,10.77,481335401000,2025-02-05 00:00:00
ABEV3,10.94,10.97,11,11.07,559736255000,2025-02-10 00:00:00
ABEV3,10.99,11.11,11.13,11.06,247220192000,2025-01-30 00:00:00
ABEV3,10.99,11.25,11.26,11.18,294149364000,2025-01-21 00:00:00
ABEV3,11,10.9,10.9,10.88,251856506000,2025-02-04 00:00:00
ABEV3,11,10.97,10.99,10.97,184925104000,2025-02-19 00:00:00
ABEV3,11.02,11.05,11.09,11.04,394515462000,2025-01-23 00:00:00
ABEV3,11.02,11.12,11.13,11.1,380403280000,2025-02-21 00:00:00
ABEV3,11.03,10.96,10.97,10.93,391348309000,2025-02-11 00:00:00
ABEV3,11.03,11.09,11.09,11.08,269975304000,2025-02-25 00:00:00
ABEV3,11.05,10.87,10.9,10.94,487103805000,2025-01-24 00:00:00
ABEV3,11.05,11.05,11.06,11.03,246039129000,2025-01-20 00:00:00
ABEV3,11.05,11.11,11.11,11.1,433360245000,2025-01-28 00:00:00
ABEV3,11.05,11.13,11.13,11.11,378807500000,2025-02-14 00:00:00
ABEV3,11.14,11.09,11.09,11.09,208391482000,2025-02-18 00:00:00
ABEV3,11.14,11.1,11.14,11.15,300656340000,2025-01-31 00:00:00
ABEV3,11.15,11.03,11.03,11.04,326009728000,2025-02-03 00:00:00
ABEV3,11.17,11.03,11.03,11.03,319584150000,2025-02-24 00:00:00
ABEV3,11.17,11.1,11.18,11.15,106650693000,2025-02-17 00:00:00
ABEV3,11.18,10.97,10.98,10.99,288010370000,2025-01-29 00:00:00
ABEV3,11.18,11.02,11.03,11.02,496021425000,2025-01-22 00:00:00
ABEV3,11.18,11.24,11.24,11.2,324234369000,2025-01-13 00:00:00
ABEV3,11.21,11.21,11.21,11.2,477729506000,2025-01-14 00:00:00
ABEV3,11.3,11.39,11.39,11.29,512413825000,2025-01-15 00:00:00
ABEV3,11.3,11.54,11.55,11.45,399809164000,2025-01-07 00:00:00
ABEV3,11.36,11.29,11.3,11.29,574654503000,2025-01-06 00:00:00
ABEV3,11.4,11.16,11.24,11.2,350434263000,2025-01-10 00:00:00
ABEV3,11.42,11.08,11.09,11.13,326112534000,2025-01-16 00:00:00
ABEV3,11.43,11.4,11.41,11.39,278738950000,2025-01-09 00:00:00
ABEV3,11.48,11.42,11.43,11.39,447394322000,2025-01-08 00:00:00
ABEV3,11.49,11.33,11.34,11.36,470029140000,2025-01-03 00:00:00
ABEV3,11.67,12.32,12.33,12.26,811625962000,2025-02-27 00:00:00
ABEV3,11.72,11.6,11.6,11.62,388339414000,2025-01-02 00:00:00
ABEV3,11.73,11.7,11.72,11.66,928946282000,2025-02-26 00:00:00
ABEV3,12.31,12.22,12.22,12.23,976268775000,2025-02-28 00:00:00
ABEV3,12.5,12.78,12.79,12.68,686318911000,2025-03-05 00:00:00
ABEV3,12.77,12.85,12.85,12.83,520012907000,2025-03-06 00:00:00
BEEF3,4.29,4.5,4.5,4.43,32253389000,2025-02-27 00:00:00
BEEF3,4.32,4.52,4.53,4.44,36459827000,2025-02-14 00:00:00
BEEF3,4.37,4.29,4.29,4.33,25398657000,2025-02-26 00:00:00
BEEF3,4.37,4.35,4.35,4.38,24571272000,2025-02-25 00:00:00
BEEF3,4.39,4.29,4.3,4.32,28115974000,2025-02-13 00:00:00
BEEF3,4.4,4.62,4.62,4.57,27474971000,2025-03-05 00:00:00
BEEF3,4.45,4.48,4.5,4.5,26050113000,2025-02-10 00:00:00
BEEF3,4.45,4.88,4.88,4.73,65565950000,2025-01-27 00:00:00
BEEF3,4.46,4.56,4.57,4.53,15765383000,2025-02-11 00:00:00
BEEF3,4.48,4.42,4.44,4.45,50535326000,2025-02-28 00:00:00
BEEF3,4.48,4.44,4.45,4.49,38714270000,2025-01-24 00:00:00
BEEF3,4.52,4.66,4.66,4.68,40253170000,2025-02-17 00:00:00
BEEF3,4.54,4.55,4.55,4.53,32291781000,2025-02-21 00:00:00
BEEF3,4.55,4.37,4.37,4.41,33907530000,2025-02-12 00:00:00
BEEF3,4.57,4.76,4.77,4.72,30761860000,2025-03-06 00:00:00
BEEF3,4.58,4.37,4.38,4.44,27848434000,2025-02-24 00:00:00
BEEF3,4.59,4.54,4.56,4.57,26706586000,2025-02-20 00:00:00
BEEF3,4.59,4.66,4.69,4.64,23757172000,2025-02-06 00:00:00
BEEF3,4.64,4.44,4.45,4.5,38482896000,2025-02-07 00:00:00
BEEF3,4.65,4.79,4.79,4.78,41084129000,2025-02-18 00:00:00
BEEF3,4.7,4.59,4.6,4.61,26377054000,2025-02-05 00:00:00
BEEF3,4.76,4.6,4.62,4.74,47779298000,2025-02-19 00:00:00
BEEF3,4.78,4.82,4.83,4.84,26165523000,2025-02-03 00:00:00
BEEF3,4.8,4.76,4.77,4.78,44528766000,2025-01-03 00:00:00
BEEF3,4.81,4.48,4.49,4.65,93219275000,2025-01-23 00:00:00
BEEF3,4.81,4.68,4.68,4.73,23337098000,2025-02-04 00:00:00
BEEF3,4.81,4.81,4.83,4.79,40404937000,2025-01-14 00:00:00
BEEF3,4.82,4.96,4.97,4.9,44379726000,2025-01-06 00:00:00
BEEF3,4.84,5.12,5.13,5.02,51135869000,2025-01-09 00:00:00
BEEF3,4.85,4.94,4.97,4.93,30782440000,2025-01-30 00:00:00
BEEF3,4.86,4.81,4.81,4.82,21132582000,2025-01-29 00:00:00
BEEF3,4.86,4.97,4.97,4.88,35854436000,2025-01-15 00:00:00
BEEF3,4.86,5.02,5.02,5.01,48770856000,2025-01-17 00:00:00
BEEF3,4.87,4.82,4.82,4.85,24704829000,2025-01-28 00:00:00
BEEF3,4.94,4.84,4.84,4.82,37906639000,2025-01-08 00:00:00
BEEF3,4.96,4.84,4.85,4.82,37086371000,2025-01-16 00:00:00
BEEF3,4.96,4.84,4.85,4.88,26223253000,2025-01-31 00:00:00
BEEF3,4.97,4.94,4.94,4.89,45092294000,2025-01-07 00:00:00
BEEF3,4.97,4.97,4.97,4.91,33142895000,2025-01-21 00:00:00
BEEF3,4.99,4.8,4.81,4.8,70359488000,2025-01-22 00:00:00
BEEF3,5.02,4.81,4.82,4.89,48566823000,2025-01-13 00:00:00
BEEF3,5.07,4.98,4.99,4.99,19381453000,2025-01-20 00:00:00
BEEF3,5.1,4.8,4.8,4.89,70997617000,2025-01-02 00:00:00
BEEF3,5.12,5.08,5.09,5.12,47634630000,2025-01-10 00:00:00
CBAV3,4.51,4.66,4.66,4.64,28223755000,2025-01-03 00:00:00
CBAV3,4.56,4.68,4.69,4.64,21704797000,2025-01-07 00:00:00
CBAV3,4.64,4.52,4.53,4.58,20239823000,2025-01-02 00:00:00
CBAV3,4.64,4.59,4.6,4.6,13091824000,2025-01-13 00:00:00
CBAV3,4.64,4.62,4.62,4.64,15887511000,2025-01-14 00:00:00
CBAV3,4.64,5.06,5.06,4.84,18628054000,2025-01-15 00:00:00
CBAV3,4.68,4.79,4.79,4.67,16796510000,2025-01-08 00:00:00
CBAV3,4.76,4.64,4.64,4.65,10596335000,2025-01-10 00:00:00
CBAV3,4.79,4.53,4.53,4.6,31874897000,2025-01-06 00:00:00
CBAV3,4.79,4.66,4.71,4.74,10590904000,2025-01-09 00:00:00
CBAV3,4.84,4.99,5,4.99,26170544000,2025-01-29 00:00:00
CBAV3,4.97,4.8,4.81,4.83,17512457000,2025-01-28 00:00:00
CBAV3,5,4.99,5.01,5,20843106000,2025-01-27 00:00:00
CBAV3,5,5.08,5.08,5.01,16398839000,2025-01-23 00:00:00
CBAV3,5.03,5.44,5.44,5.36,38158468000,2025-01-30 00:00:00
CBAV3,5.04,5.21,5.24,5.19,26721715000,2025-03-06 00:00:00
CBAV3,5.05,5.14,5.17,5.14,16116261000,2025-01-21 00:00:00
CBAV3,5.07,5.06,5.07,5.06,8916694000,2025-01-24 00:00:00
CBAV3,5.08,5.1,5.1,5.11,10963709000,2025-01-20 00:00:00
CBAV3,5.1,5.12,5.13,5.04,18940071000,2025-01-17 00:00:00
CBAV3,5.11,5,5.02,5.06,10871982000,2025-03-05 00:00:00
CBAV3,5.12,5.05,5.06,4.98,17208634000,2025-01-16 00:00:00
CBAV3,5.13,5.01,5.02,5.05,16274400000,2025-01-22 00:00:00
CBAV3,5.19,5.19,5.2,5.17,24987852000,2025-02-28 00:00:00
CBAV3,5.22,5.5,5.52,5.42,18366857000,2025-02-06 00:00:00
CBAV3,5.25,5.2,5.21,5.23,9935367000,2025-02-05 00:00:00
CBAV3,5.3,5.26,5.31,5.29,22773871000,2025-02-04 00:00:00
CBAV3,5.34,5.74,5.74,5.49,44055941000,2025-02-11 00:00:00
CBAV3,5.36,5.29,5.3,5.28,19342025000,2025-02-03 00:00:00
CBAV3,5.36,5.44,5.44,5.43,21990478000,2025-02-10 00:00:00
CBAV3,5.45,5.44,5.48,5.47,24176311000,2025-01-31 00:00:00
CBAV3,5.48,5.5,5.52,5.46,15080402000,2025-02-07 00:00:00
CBAV3,5.52,5.23,5.24,5.37,25780696000,2025-02-27 00:00:00
CBAV3,5.58,5.72,5.73,5.66,12017441000,2025-02-13 00:00:00
CBAV3,5.63,5.58,5.64,5.57,22314613000,2025-02-12 00:00:00
CBAV3,5.74,5.84,5.84,5.78,20626200000,2025-02-14 00:00:00
CBAV3,5.77,5.87,5.89,5.92,18425790000,2025-02-19 00:00:00
CBAV3,5.82,5.89,5.89,5.91,14736711000,2025-02-17 00:00:00
CBAV3,5.87,5.87,5.87,5.84,9799631000,2025-02-25 00:00:00
CBAV3,5.88,5.79,5.8,5.78,17264003000,2025-02-18 00:00:00
CBAV3,5.9,6.1,6.1,6.03,22788559000,2025-02-20 00:00:00
CBAV3,5.98,5.89,5.9,5.9,10995075000,2025-02-24 00:00:00
CBAV3,6,5.57,5.58,5.69,32792062000,2025-02-26 00:00:00
CBAV3,6.08,5.95,5.96,5.96,19682464000,2025-02-21 00:00:00
CMIN3,4.65,4.71,4.72,4.67,26137778000,2025-01-09 00:00:00
CMIN3,4.74,4.85,4.85,4.78,45892380000,2025-01-10 00:00:00
CMIN3,4.79,4.64,4.65,4.68,41515725000,2025-01-08 00:00:00
CMIN3,4.85,5.07,5.07,4.97,37378271000,2025-01-15 00:00:00
CMIN3,4.92,5.12,5.12,5.05,55731667000,2025-01-17 00:00:00
CMIN3,4.93,4.95,4.95,4.95,49781893000,2025-01-13 00:00:00
CMIN3,4.95,5.01,5.01,4.98,51578224000,2025-01-06 00:00:00
CMIN3,4.98,4.84,4.85,4.91,37084099000,2025-01-14 00:00:00
CMIN3,5,5.17,5.17,5.07,30869783000,2025-02-13 00:00:00
CMIN3,5.03,4.88,4.89,4.9,124147163000,2025-01-03 00:00:00
CMIN3,5.05,4.78,4.8,4.87,60684969000,2025-01-07 00:00:00
CMIN3,5.05,4.87,4.9,4.93,33350844000,2025-01-16 00:00:00
CMIN3,5.1,5.17,5.17,5.09,35601203000,2025-01-20 00:00:00
CMIN3,5.13,5.26,5.26,5.17,31955705000,2025-01-21 00:00:00
CMIN3,5.14,5.36,5.36,5.28,29821234000,2025-01-27 00:00:00
CMIN3,5.16,5.29,5.3,5.24,35163092000,2025-03-05 00:00:00
CMIN3,5.19,5.22,5.22,5.2,24804714000,2025-01-23 00:00:00
CMIN3,5.2,5.04,5.05,5.04,53836804000,2025-01-02 00:00:00
CMIN3,5.24,5.48,5.48,5.39,57363773000,2025-02-14 00:00:00
CMIN3,5.24,5.56,5.56,5.53,52111493000,2025-01-30 00:00:00
CMIN3,5.25,5.15,5.17,5.18,22669699000,2025-01-24 00:00:00
CMIN3,5.25,5.19,5.19,5.22,41699936000,2025-01-22 00:00:00
CMIN3,5.25,5.25,5.25,5.25,20579616000,2025-02-05 00:00:00
CMIN3,5.28,5.01,5.01,5.07,66751509000,2025-02-12 00:00:00
CMIN3,5.28,5.22,5.26,5.26,24621655000,2025-01-29 00:00:00
CMIN3,5.28,5.35,5.35,5.32,27470097000,2025-02-25 00:00:00
CMIN3,5.29,5.46,5.46,5.42,32365194000,2025-02-06 00:00:00
CMIN3,5.3,5.1,5.12,5.16,32862532000,2025-02-28 00:00:00
CMIN3,5.3,5.48,5.49,5.47,55987604000,2025-03-06 00:00:00
CMIN3,5.31,5.26,5.26,5.27,18676962000,2025-01-28 00:00:00
CMIN3,5.31,5.32,5.34,5.31,35581186000,2025-02-11 00:00:00
CMIN3,5.33,5.32,5.33,5.33,25419840000,2025-02-27 00:00:00
CMIN3,5.33,5.37,5.38,5.38,17611381000,2025-02-19 00:00:00
CMIN3,5.34,5.27,5.27,5.26,22456512000,2025-02-04 00:00:00
CMIN3,5.34,5.4,5.4,5.37,23047213000,2025-02-10 00:00:00
CMIN3,5.36,5.36,5.37,5.37,24873879000,2025-02-26 00:00:00
CMIN3,5.38,5.28,5.29,5.32,16851154000,2025-02-24 00:00:00
CMIN3,5.39,5.38,5.39,5.35,24318389000,2025-02-21 00:00:00
CMIN3,5.4,5.34,5.36,5.41,26957003000,2025-02-03 00:00:00
CMIN3,5.44,5.36,5.38,5.41,31693238000,2025-02-20 00:00:00
CMIN3,5.46,5.34,5.35,5.43,34599022000,2025-02-07 00:00:00
CMIN3,5.47,5.52,5.52,5.56,35645572000,2025-02-17 00:00:00
CMIN3,5.55,5.4,5.41,5.47,25174331000,2025-02-18 00:00:00
CMIN3,5.55,5.46,5.46,5.49,36811390000,2025-01-31 00:00:00
CSED3,3.06,3.1,3.1,3.06,761416000,2025-01-08 00:00:00
CSED3,3.06,3.11,3.11,3.06,961216000,2025-01-13 00:00:00
CSED3,3.06,3.15,3.15,3.09,1226628000,2025-01-06 00:00:00
CSED3,3.08,3.38,3.39,3.28,2330110000,2025-01-15 00:00:00
CSED3,3.1,3.08,3.09,3.07,604530000,2025-01-10 00:00:00
CSED3,3.1,3.15,3.15,3.07,981459000,2025-01-14 00:00:00
CSED3,3.14,3,3,3.06,895338000,2025-01-03 00:00:00
CSED3,3.14,3.12,3.12,3.08,989940000,2025-01-09 00:00:00
CSED3,3.15,3.23,3.23,3.21,2174767000,2025-01-20 00:00:00
CSED3,3.16,3.22,3.22,3.24,6851097000,2025-01-24 00:00:00
CSED3,3.19,3.11,3.11,3.14,1193673000,2025-01-07 00:00:00
CSED3,3.2,3.12,3.12,3.08,1310325000,2025-01-02 00:00:00
CSED3,3.22,3.21,3.21,3.19,1307426000,2025-01-23 00:00:00
CSED3,3.22,3.38,3.38,3.31,1705111000,2025-01-27 00:00:00
CSED3,3.24,3.21,3.21,3.17,2085947000,2025-01-21 00:00:00
CSED3,3.24,3.21,3.21,3.18,2662120000,2025-01-22 00:00:00
CSED3,3.25,3.15,3.2,3.18,1501299000,2025-01-17 00:00:00
CSED3,3.26,3.39,3.39,3.36,8401914000,2025-01-30 00:00:00
CSED3,3.3,3.3,3.3,3.27,1662608000,2025-01-29 00:00:00
CSED3,3.31,3.43,3.46,3.44,2533474000,2025-03-06 00:00:00
CSED3,3.35,3.47,3.48,3.43,947880000,2025-02-06 00:00:00
CSED3,3.37,3.27,3.27,3.26,1698902000,2025-01-16 00:00:00
CSED3,3.37,3.3,3.32,3.33,710368000,2025-03-05 00:00:00
